Order ID,Order Date,Region,Product Category,Product Name,Units Sold,Unit Price,Revenue,Cost,Profit,Customer Segment
1001,2024-01-05,North,Electronics,Wireless Headphones,3,59.99,179.97,107.98,71.99,Consumer
1002,2024-01-08,South,Office Supplies,Notebook Set,10,12.99,129.90,71.45,58.45,Corporate
1003,2024-01-10,East,Furniture,Standing Desk,1,349.99,349.99,227.49,122.50,Consumer
1004,2024-01-12,West,Electronics,USB-C Hub,5,34.99,174.95,96.22,78.73,Home Office
1005,2024-01-15,North,Office Supplies,Whiteboard Markers,20,4.99,99.80,49.90,49.90,Corporate
1006,2024-01-18,South,Furniture,Ergonomic Chair,2,279.99,559.98,363.99,195.99,Consumer
1007,2024-01-20,East,Electronics,Bluetooth Speaker,4,44.99,179.96,98.98,80.98,Home Office
1008,2024-01-22,West,Office Supplies,Sticky Notes Pack,15,6.99,104.85,52.43,52.42,Corporate
1009,2024-01-25,North,Furniture,Bookshelf,1,189.99,189.99,113.99,76.00,Consumer
1010,2024-01-28,South,Electronics,Webcam HD,3,79.99,239.97,143.98,95.99,Home Office
1011,2024-02-01,East,Office Supplies,Desk Organizer,8,19.99,159.92,87.96,71.96,Corporate
1012,2024-02-03,West,Furniture,Monitor Stand,2,64.99,129.98,71.49,58.49,Consumer
1013,2024-02-06,North,Electronics,Portable Charger,6,29.99,179.94,98.97,80.97,Home Office
1014,2024-02-08,South,Office Supplies,Binder Clips Box,25,3.49,87.25,43.63,43.62,Corporate
1015,2024-02-10,East,Furniture,Filing Cabinet,1,219.99,219.99,142.99,77.00,Consumer
1016,2024-02-13,West,Electronics,Wireless Mouse,7,24.99,174.93,96.21,78.72,Home Office
1017,2024-02-15,North,Office Supplies,Printer Paper Ream,12,8.99,107.88,59.34,48.54,Corporate
1018,2024-02-18,South,Furniture,Desk Lamp,4,39.99,159.96,87.98,71.98,Consumer
1019,2024-02-20,East,Electronics,HDMI Cable,10,14.99,149.90,74.95,74.95,Home Office
1020,2024-02-22,West,Office Supplies,Pen Set Premium,6,22.99,137.94,75.87,62.07,Corporate
1021,2024-02-25,North,Furniture,Corner Desk,1,299.99,299.99,194.99,105.00,Consumer
1022,2024-02-28,South,Electronics,Noise Cancelling Earbuds,3,89.99,269.97,161.98,107.99,Home Office
1023,2024-03-02,East,Office Supplies,Planner 2024,5,16.99,84.95,42.48,42.47,Corporate
1024,2024-03-04,West,Furniture,Office Chair Mat,2,49.99,99.98,54.99,44.99,Consumer
1025,2024-03-07,North,Electronics,USB Flash Drive 64GB,8,15.99,127.92,70.36,57.56,Home Office
1026,2024-03-09,South,Office Supplies,Tape Dispenser,10,7.99,79.90,39.95,39.95,Corporate
1027,2024-03-12,East,Furniture,Wall Shelf Set,2,79.99,159.98,87.99,72.00,Consumer
1028,2024-03-14,West,Electronics,Laptop Stand,3,54.99,164.97,90.73,74.24,Home Office
1029,2024-03-17,North,Office Supplies,Highlighter Pack,15,5.49,82.35,41.18,41.17,Corporate
1030,2024-03-19,South,Furniture,Drafting Stool,1,159.99,159.99,103.99,56.00,Consumer
1031,2024-03-22,East,Electronics,Keyboard Mechanical,2,109.99,219.98,131.99,87.99,Home Office
1032,2024-03-24,West,Office Supplies,Paper Clips Box,20,2.99,59.80,29.90,29.90,Corporate
1033,2024-03-27,North,Furniture,Side Table,2,89.99,179.98,107.99,72.00,Consumer
1034,2024-03-29,South,Electronics,Webcam Ring Light,4,27.99,111.96,61.58,50.38,Home Office
1035,2024-04-01,East,Office Supplies,Envelope Pack,12,9.99,119.88,65.93,53.95,Corporate
1036,2024-04-03,West,Furniture,Cable Management Tray,3,34.99,104.97,57.73,47.24,Consumer
1037,2024-04-06,North,Electronics,Power Strip Surge,5,22.99,114.95,63.22,51.73,Home Office
1038,2024-04-08,South,Office Supplies,Stapler Heavy Duty,4,18.99,75.96,41.78,34.18,Corporate
1039,2024-04-10,East,Furniture,Floating Shelf,3,44.99,134.97,74.23,60.74,Consumer
1040,2024-04-13,West,Electronics,Wireless Charger Pad,6,19.99,119.94,65.97,53.97,Home Office
1041,2024-04-15,North,Office Supplies,Correction Tape,18,3.99,71.82,35.91,35.91,Corporate
1042,2024-04-18,South,Furniture,Monitor Arm,2,74.99,149.98,82.49,67.49,Consumer
1043,2024-04-20,East,Electronics,External SSD 500GB,2,69.99,139.98,76.99,62.99,Home Office
1044,2024-04-22,West,Office Supplies,Folder Set,10,11.99,119.90,65.95,53.95,Corporate
1045,2024-04-25,North,Furniture,Coat Rack,1,59.99,59.99,32.99,27.00,Consumer
1046,2024-04-28,South,Electronics,Smart Plug 2-Pack,4,24.99,99.96,54.98,44.98,Home Office
1047,2024-05-01,East,Office Supplies,Rubber Bands Bag,20,2.49,49.80,24.90,24.90,Corporate
1048,2024-05-03,West,Furniture,Laptop Desk Portable,2,44.99,89.98,49.49,40.49,Consumer
1049,2024-05-06,North,Electronics,Screen Protector,8,12.99,103.92,57.16,46.76,Home Office
1050,2024-05-08,South,Office Supplies,Scissors Set,6,8.99,53.94,29.67,24.27,Corporate
1051,2024-05-10,East,Furniture,Adjustable Desk Riser,1,129.99,129.99,71.49,58.50,Consumer
1052,2024-05-13,West,Electronics,Ethernet Cable 10ft,10,9.99,99.90,54.95,44.95,Home Office
1053,2024-05-15,North,Office Supplies,Label Maker,3,29.99,89.97,49.48,40.49,Corporate
1054,2024-05-18,South,Furniture,Footrest Ergonomic,2,39.99,79.98,43.99,35.99,Consumer
1055,2024-05-20,East,Electronics,Webcam Tripod,5,18.99,94.95,52.22,42.73,Home Office
1056,2024-05-22,West,Office Supplies,Index Cards Pack,15,4.49,67.35,37.04,30.31,Corporate
1057,2024-05-25,North,Furniture,Desk Drawer Unit,1,149.99,149.99,82.49,67.50,Consumer
1058,2024-05-28,South,Electronics,USB Microphone,2,64.99,129.98,71.49,58.49,Home Office
1059,2024-06-01,East,Office Supplies,Whiteboard Small,3,24.99,74.97,41.23,33.74,Corporate
1060,2024-06-03,West,Furniture,Plant Stand,2,34.99,69.98,38.49,31.49,Consumer
1061,2024-06-06,North,Electronics,Wireless Keyboard,4,39.99,159.96,87.98,71.98,Home Office
1062,2024-06-08,South,Office Supplies,Stamp Pad,8,6.99,55.92,30.76,25.16,Corporate
1063,2024-06-10,East,Furniture,Desk Shelf Riser,2,54.99,109.98,60.49,49.49,Consumer
1064,2024-06-13,West,Electronics,Phone Stand Adjustable,6,14.99,89.94,49.47,40.47,Home Office
1065,2024-06-15,North,Office Supplies,Glue Sticks Pack,20,1.99,39.80,19.90,19.90,Corporate
1066,2024-06-18,South,Furniture,Bookend Set,4,19.99,79.96,43.98,35.98,Consumer
1067,2024-06-20,East,Electronics,Cable Organizer Kit,5,16.99,84.95,46.72,38.23,Home Office
1068,2024-06-22,West,Office Supplies,Calculator Scientific,3,19.99,59.97,32.98,26.99,Corporate
1069,2024-06-25,North,Furniture,Whiteboard Stand,1,99.99,99.99,54.99,45.00,Consumer
1070,2024-06-28,South,Electronics,LED Desk Light,3,32.99,98.97,54.43,44.54,Home Office
1071,2024-07-01,East,Office Supplies,Pencil Sharpener Electric,4,14.99,59.96,32.98,26.98,Corporate
1072,2024-07-03,West,Furniture,Storage Ottoman,1,69.99,69.99,38.49,31.50,Consumer
1073,2024-07-06,North,Electronics,HDMI Splitter,5,21.99,109.95,60.47,49.48,Home Office
1074,2024-07-08,South,Office Supplies,Push Pins Box,25,1.99,49.75,24.88,24.87,Corporate
1075,2024-07-10,East,Furniture,Magazine Rack,2,29.99,59.98,32.99,26.99,Consumer
1076,2024-07-13,West,Electronics,Portable Monitor 15in,1,199.99,199.99,119.99,80.00,Home Office
1077,2024-07-15,North,Office Supplies,Desk Calendar,6,9.99,59.94,32.97,26.97,Corporate
1078,2024-07-18,South,Furniture,Lumbar Support Pillow,3,24.99,74.97,41.23,33.74,Consumer
1079,2024-07-20,East,Electronics,Surge Protector Tower,2,44.99,89.98,49.49,40.49,Home Office
1080,2024-07-22,West,Office Supplies,Washi Tape Set,8,7.99,63.92,35.16,28.76,Corporate
1081,2024-07-25,North,Furniture,Desk Fan USB,4,18.99,75.96,41.78,34.18,Consumer
1082,2024-07-28,South,Electronics,Webcam Cover Slide,20,3.99,79.80,43.89,35.91,Home Office
1083,2024-08-01,East,Office Supplies,Clipboard Set,5,6.99,34.95,19.22,15.73,Corporate
1084,2024-08-03,West,Furniture,Under Desk Keyboard Tray,1,59.99,59.99,32.99,27.00,Consumer
1085,2024-08-06,North,Electronics,Docking Station,2,89.99,179.98,98.99,80.99,Home Office
1086,2024-08-08,South,Office Supplies,Magnifying Glass,3,12.99,38.97,21.43,17.54,Corporate
1087,2024-08-10,East,Furniture,Acoustic Panel Set,2,49.99,99.98,54.99,44.99,Consumer
1088,2024-08-13,West,Electronics,Smart Power Strip,3,34.99,104.97,57.73,47.24,Home Office
1089,2024-08-15,North,Office Supplies,Desk Pad Large,4,17.99,71.96,39.58,32.38,Corporate
1090,2024-08-18,South,Furniture,Wobble Stool,1,89.99,89.99,49.49,40.50,Consumer
1091,2024-08-20,East,Electronics,Wireless Presenter,3,29.99,89.97,49.48,40.49,Home Office
1092,2024-08-22,West,Office Supplies,Pencil Case,10,5.99,59.90,32.95,26.95,Corporate
1093,2024-08-25,North,Furniture,Wall Clock Modern,2,34.99,69.98,38.49,31.49,Consumer
1094,2024-08-28,South,Electronics,USB Hub 7-Port,4,27.99,111.96,61.58,50.38,Home Office
1095,2024-09-01,East,Office Supplies,Laminating Pouches,15,5.99,89.85,49.42,40.43,Corporate
1096,2024-09-03,West,Furniture,Privacy Screen Panel,1,119.99,119.99,65.99,54.00,Consumer
1097,2024-09-06,North,Electronics,Bluetooth Adapter,8,11.99,95.92,52.76,43.16,Home Office
1098,2024-09-08,South,Office Supplies,Dry Erase Board,2,34.99,69.98,38.49,31.49,Corporate
1099,2024-09-10,East,Furniture,Desk Hutch,1,179.99,179.99,107.99,72.00,Consumer
1100,2024-09-13,West,Electronics,Webcam Microphone Combo,2,54.99,109.98,60.49,49.49,Home Office
1101,2024-09-15,North,Office Supplies,Binder Set 3-Ring,6,8.99,53.94,29.67,24.27,Corporate
1102,2024-09-18,South,Furniture,Anti-Fatigue Mat,2,44.99,89.98,49.49,40.49,Consumer
1103,2024-09-20,East,Electronics,Card Reader USB-C,5,19.99,99.95,54.97,44.98,Home Office
1104,2024-09-22,West,Office Supplies,Paper Trimmer,2,24.99,49.98,27.49,22.49,Corporate
1105,2024-09-25,North,Furniture,Corkboard Large,1,39.99,39.99,21.99,18.00,Consumer
1106,2024-09-28,South,Electronics,Mini Projector,1,149.99,149.99,89.99,60.00,Home Office
1107,2024-10-01,East,Office Supplies,Ink Cartridge Set,3,34.99,104.97,57.73,47.24,Corporate
1108,2024-10-03,West,Furniture,Swivel Chair Base,1,64.99,64.99,35.74,29.25,Consumer
1109,2024-10-06,North,Electronics,Portable Speaker Mini,4,24.99,99.96,54.98,44.98,Home Office
1110,2024-10-08,South,Office Supplies,Hole Punch 3-Ring,3,11.99,35.97,19.78,16.19,Corporate
1111,2024-10-10,East,Furniture,Desk Converter,1,249.99,249.99,149.99,100.00,Consumer
1112,2024-10-13,West,Electronics,Streaming Light Panel,2,39.99,79.98,43.99,35.99,Home Office
1113,2024-10-15,North,Office Supplies,Composition Notebook,12,3.99,47.88,26.33,21.55,Corporate
1114,2024-10-18,South,Furniture,Armrest Pads,4,14.99,59.96,32.98,26.98,Consumer
1115,2024-10-20,East,Electronics,WiFi Range Extender,3,34.99,104.97,57.73,47.24,Home Office
1116,2024-10-22,West,Office Supplies,Desk Nameplate,5,9.99,49.95,27.47,22.48,Corporate
1117,2024-10-25,North,Furniture,Shelf Brackets Set,3,12.99,38.97,21.43,17.54,Consumer
1118,2024-10-28,South,Electronics,Numeric Keypad,4,17.99,71.96,39.58,32.38,Home Office
1119,2024-11-01,East,Office Supplies,Marker Board Eraser,10,4.99,49.90,27.45,22.45,Corporate
1120,2024-11-03,West,Furniture,Desk Grommet Set,6,7.99,47.94,26.37,21.57,Consumer
1121,2024-11-06,North,Electronics,Travel Adapter Universal,5,18.99,94.95,52.22,42.73,Home Office
1122,2024-11-08,South,Office Supplies,Receipt Book,8,5.99,47.92,26.36,21.56,Corporate
1123,2024-11-10,East,Furniture,Monitor Light Bar,2,44.99,89.98,49.49,40.49,Consumer
1124,2024-11-13,West,Electronics,Fingerprint USB Drive,3,39.99,119.97,65.98,53.99,Home Office
1125,2024-11-15,North,Office Supplies,Shipping Labels,10,12.99,129.90,71.45,58.45,Corporate
1126,2024-11-18,South,Furniture,Desk Riser Block Set,2,24.99,49.98,27.49,22.49,Consumer
1127,2024-11-20,East,Electronics,Clip-On Webcam Light,6,13.99,83.94,46.17,37.77,Home Office
1128,2024-11-22,West,Office Supplies,Expanding File Folder,4,14.99,59.96,32.98,26.98,Corporate
1129,2024-11-25,North,Furniture,Cable Tray Under Desk,3,22.99,68.97,37.93,31.04,Consumer
1130,2024-11-28,South,Electronics,Portable Hard Drive 1TB,2,54.99,109.98,60.49,49.49,Home Office
1131,2024-12-01,East,Office Supplies,Desk Tape Refills,15,2.99,44.85,24.67,20.18,Corporate
1132,2024-12-03,West,Furniture,Seat Cushion Memory Foam,3,29.99,89.97,49.48,40.49,Consumer
1133,2024-12-06,North,Electronics,Multi-Port Wall Charger,4,24.99,99.96,54.98,44.98,Home Office
1134,2024-12-08,South,Office Supplies,Document Holder Stand,3,16.99,50.97,28.03,22.94,Corporate
1135,2024-12-10,East,Furniture,Pegboard Organizer,2,39.99,79.98,43.99,35.99,Consumer
1136,2024-12-13,West,Electronics,Noise Machine White,2,29.99,59.98,32.99,26.99,Home Office
1137,2024-12-15,North,Office Supplies,Stamp Set Custom,2,19.99,39.98,21.99,17.99,Corporate
1138,2024-12-18,South,Furniture,Desk Shelf Monitor,1,69.99,69.99,38.49,31.50,Consumer
1139,2024-12-20,East,Electronics,Smart Light Bulb 2-Pack,4,19.99,79.96,43.98,35.98,Home Office
1140,2024-12-22,West,Office Supplies,Magnetic Clips,12,3.49,41.88,23.03,18.85,Corporate
1141,2024-12-25,North,Furniture,Desk Organizer Wood,2,44.99,89.98,49.49,40.49,Consumer
1142,2024-12-28,South,Electronics,Portable Fan Rechargeable,5,16.99,84.95,46.72,38.23,Home Office
1143,2024-12-30,East,Office Supplies,Bubble Mailers Pack,10,8.99,89.90,49.45,40.45,Corporate
1144,2024-01-03,West,Electronics,Wireless Earbuds Budget,6,29.99,179.94,98.97,80.97,Consumer
1145,2024-01-14,North,Furniture,L-Shaped Desk,1,399.99,399.99,259.99,140.00,Home Office
1146,2024-02-11,South,Electronics,Tablet Stand Adjustable,4,22.99,91.96,50.58,41.38,Corporate
1147,2024-03-05,East,Office Supplies,Laminator Machine,1,39.99,39.99,21.99,18.00,Consumer
1148,2024-04-16,West,Furniture,Mesh Back Support,3,19.99,59.97,32.98,26.99,Home Office
1149,2024-05-12,North,Electronics,Action Camera Mount,2,14.99,29.98,16.49,13.49,Corporate
1150,2024-06-09,South,Office Supplies,Colored Paper Ream,5,11.99,59.95,32.97,26.98,Consumer

1151,2024-07-11,West,Electronics,Webcam 4K Ultra,1,129.99,129.99,71.49,58.50,Consumer
1152,2024-07-14,North,Office Supplies,Desk Tray Stackable,4,13.99,55.96,30.78,25.18,Corporate
1153,2024-07-22,East,Furniture,Standing Desk Mat,2,34.99,69.98,38.49,31.49,Home Office
1154,2024-08-02,South,Electronics,Portable SSD 1TB,1,109.99,109.99,60.49,49.50,Consumer
1155,2024-08-11,West,Office Supplies,Mechanical Pencil Set,6,7.99,47.94,26.37,21.57,Corporate
1156,2024-08-19,North,Furniture,Desk Partition Screen,1,79.99,79.99,43.99,36.00,Home Office
1157,2024-09-04,East,Electronics,Smart Plug Mini,8,12.99,103.92,57.16,46.76,Consumer
1158,2024-09-12,South,Office Supplies,Presentation Clicker,2,24.99,49.98,27.49,22.49,Corporate
1159,2024-09-21,West,Furniture,Ergonomic Kneeling Chair,1,139.99,139.99,76.99,63.00,Home Office
1160,2024-10-02,North,Electronics,USB-C to HDMI Adapter,5,17.99,89.95,49.47,40.48,Consumer
1161,2024-10-11,East,Office Supplies,Spiral Notebook Large,8,6.99,55.92,30.76,25.16,Corporate
1162,2024-10-19,South,Furniture,Desk Caddy Rotating,3,22.99,68.97,37.93,31.04,Home Office
1163,2024-11-02,West,Electronics,Wireless Trackpad,2,49.99,99.98,54.99,44.99,Consumer
1164,2024-11-09,North,Office Supplies,Rubber Stamp Ink,10,4.99,49.90,27.45,22.45,Corporate
1165,2024-11-17,East,Furniture,Laptop Cooling Pad,3,24.99,74.97,41.23,33.74,Home Office
1166,2024-12-01,South,Electronics,Digital Photo Frame,1,79.99,79.99,43.99,36.00,Consumer
1167,2024-12-09,West,Office Supplies,Hanging File Folders,6,10.99,65.94,36.27,29.67,Corporate
1168,2024-12-16,North,Furniture,Desk Clock Digital,4,14.99,59.96,32.98,26.98,Home Office
1169,2024-12-22,East,Electronics,Charging Cable 3-Pack,10,9.99,99.90,54.95,44.95,Consumer
1170,2024-12-28,South,Office Supplies,Correction Fluid,12,3.49,41.88,23.03,18.85,Corporate
1171,2024-01-09,West,Furniture,Task Chair Basic,1,149.99,149.99,82.49,67.50,Consumer
1172,2024-02-14,North,Electronics,Webcam Privacy Shutter,6,9.99,59.94,32.97,26.97,Home Office
1173,2024-03-11,East,Office Supplies,Desk Blotter Pad,2,19.99,39.98,21.99,17.99,Corporate
1174,2024-04-08,South,Furniture,Keyboard Wrist Rest,4,14.99,59.96,32.98,26.98,Consumer
1175,2024-05-16,West,Electronics,Portable Battery Pack,3,44.99,134.97,74.23,60.74,Home Office
1176,2024-06-13,North,Office Supplies,Tape Gun Dispenser,2,16.99,33.98,18.69,15.29,Corporate
1177,2024-07-18,East,Furniture,Monitor Riser Wood,2,54.99,109.98,60.49,49.49,Consumer
1178,2024-08-22,South,Electronics,Bluetooth Transmitter,4,19.99,79.96,43.98,35.98,Home Office
1179,2024-09-15,West,Office Supplies,Whiteboard Calendar,3,14.99,44.97,24.73,20.24,Corporate
1180,2024-10-20,North,Furniture,Desk Footrest Hammock,5,11.99,59.95,32.97,26.98,Consumer
1181,2024-11-12,East,Electronics,USB Desk Fan,6,12.99,77.94,42.87,35.07,Home Office
1182,2024-12-05,South,Office Supplies,Binder Dividers Set,8,5.99,47.92,26.36,21.56,Corporate
1183,2024-03-28,West,Furniture,Adjustable Footrest,2,34.99,69.98,38.49,31.49,Consumer
1184,2024-05-22,North,Electronics,Screen Cleaning Kit,7,8.99,62.93,34.61,28.32,Home Office
1185,2024-07-30,East,Office Supplies,Memo Pad Cube,10,4.49,44.90,24.70,20.20,Corporate
1186,2024-09-18,South,Furniture,Desk Pen Holder,5,9.99,49.95,27.47,22.48,Consumer
1187,2024-11-25,West,Electronics,Timer Digital Desktop,3,14.99,44.97,24.73,20.24,Home Office
1188,2024-04-29,North,Office Supplies,Sheet Protectors Pack,12,6.99,83.88,46.13,37.75,Corporate
1189,2024-06-24,East,Furniture,Desk Mat Leather,2,29.99,59.98,32.99,26.99,Consumer
1190,2024-08-30,South,Electronics,Webcam Stand Gooseneck,3,16.99,50.97,28.03,22.94,Home Office
1191,2024-10-28,West,Office Supplies,Pencil Cup Holder,6,5.99,35.94,19.77,16.17,Corporate
1192,2024-12-12,North,Furniture,Cable Box Organizer,4,18.99,75.96,41.78,34.18,Consumer
1193,2024-02-19,East,Electronics,Mini Display Adapter,5,14.99,74.95,41.22,33.73,Home Office
1194,2024-04-14,South,Office Supplies,Craft Scissors,4,7.99,31.96,17.58,14.38,Corporate
1195,2024-06-17,West,Furniture,Desk Shelf Bamboo,1,64.99,64.99,35.74,29.25,Consumer
1196,2024-08-12,North,Electronics,Headphone Stand,3,19.99,59.97,32.98,26.99,Home Office
1197,2024-10-07,East,Office Supplies,Address Labels Roll,8,9.99,79.92,43.96,35.96,Corporate
1198,2024-11-30,South,Furniture,Wrist Rest Keyboard Pad,4,12.99,51.96,28.58,23.38,Consumer
1199,2024-07-05,West,Electronics,USB Light Strip,5,11.99,59.95,32.97,26.98,Home Office
1200,2024-09-26,North,Office Supplies,Desk Staple Remover,10,2.99,29.90,16.45,13.45,Corporate
